[32m01:04:25 (856182) INFO ProjectReader[39m Found 10 of 152 file(s) to be mutated.
[32m01:04:26 (856182) INFO Instrumenter[39m Instrumented 10 source file(s) with 298 mutant(s)
[32m01:04:26 (856182) INFO ConcurrencyTokenProvider[39m Creating 1 test runner process(es).
[32m01:04:27 (856182) INFO BroadcastReporter[39m Detected that current console does not support the "progress" reporter, downgrading to "progress-append-only" reporter
[32m01:04:28 (856182) INFO DryRunExecutor[39m Starting initial test run (jest test runner with "off" coverage analysis). This may take a while.
[32m01:04:34 (856182) INFO DryRunExecutor[39m Initial test run succeeded. Ran 110 tests in 6 seconds (net 1689 ms, overhead 4746 ms).
Mutation testing 47% (elapsed: ~15m, remaining: ~17m) 139/295 tested (0 survived, 10 timed out)
Mutation testing 47% (elapsed: ~15m, remaining: ~17m) 139/295 tested (0 survived, 10 timed out)
Mutation testing 47% (elapsed: ~15m, remaining: ~17m) 140/295 tested (0 survived, 11 timed out)
Mutation testing 47% (elapsed: ~16m, remaining: ~17m) 140/295 tested (0 survived, 11 timed out)
Mutation testing 47% (elapsed: ~16m, remaining: ~17m) 140/295 tested (0 survived, 11 timed out)
Mutation testing 47% (elapsed: ~16m, remaining: ~18m) 140/295 tested (0 survived, 11 timed out)
Mutation testing 47% (elapsed: ~16m, remaining: ~18m) 141/295 tested (0 survived, 12 timed out)
Mutation testing 48% (elapsed: ~16m, remaining: ~17m) 143/295 tested (0 survived, 12 timed out)
Mutation testing 48% (elapsed: ~16m, remaining: ~17m) 143/295 tested (0 survived, 12 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 143/295 tested (0 survived, 12 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 143/295 tested (0 survived, 12 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 144/295 tested (0 survived, 13 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 144/295 tested (0 survived, 13 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 144/295 tested (0 survived, 13 timed out)
Mutation testing 48% (elapsed: ~17m, remaining: ~18m) 144/295 tested (0 survived, 13 timed out)
Mutation testing 48% (elapsed: ~18m, remaining: ~18m) 144/295 tested (0 survived, 13 timed out)
Mutation testing 49% (elapsed: ~18m, remaining: ~18m) 147/295 tested (0 survived, 14 timed out)
Mutation testing 50% (elapsed: ~18m, remaining: ~17m) 150/295 tested (0 survived, 14 timed out)
Mutation testing 51% (elapsed: ~18m, remaining: ~17m) 153/295 tested (0 survived, 14 timed out)
Mutation testing 52% (elapsed: ~18m, remaining: ~16m) 156/295 tested (0 survived, 14 timed out)
Mutation testing 53% (elapsed: ~18m, remaining: ~16m) 159/295 tested (0 survived, 14 timed out)
Mutation testing 54% (elapsed: ~19m, remaining: ~15m) 162/295 tested (0 survived, 14 timed out)
Mutation testing 55% (elapsed: ~19m, remaining: ~15m) 164/295 tested (0 survived, 14 timed out)
Mutation testing 56% (elapsed: ~19m, remaining: ~14m) 167/295 tested (0 survived, 14 timed out)
Mutation testing 57% (elapsed: ~19m, remaining: ~14m) 170/295 tested (0 survived, 14 timed out)
Mutation testing 58% (elapsed: ~19m, remaining: ~13m) 173/295 tested (0 survived, 14 timed out)
Mutation testing 59% (elapsed: ~19m, remaining: ~13m) 176/295 tested (0 survived, 14 timed out)
Mutation testing 60% (elapsed: ~20m, remaining: ~12m) 179/295 tested (0 survived, 14 timed out)
Mutation testing 60% (elapsed: ~20m, remaining: ~13m) 179/295 tested (0 survived, 14 timed out)
Mutation testing 60% (elapsed: ~20m, remaining: ~13m) 179/295 tested (0 survived, 14 timed out)
Mutation testing 60% (elapsed: ~20m, remaining: ~13m) 179/295 tested (0 survived, 14 timed out)
Mutation testing 60% (elapsed: ~20m, remaining: ~13m) 179/295 tested (0 survived, 14 timed out)
Mutation testing 61% (elapsed: ~20m, remaining: ~12m) 182/295 tested (0 survived, 15 timed out)
Mutation testing 62% (elapsed: ~21m, remaining: ~12m) 185/295 tested (0 survived, 15 timed out)
Mutation testing 63% (elapsed: ~21m, remaining: ~12m) 188/295 tested (0 survived, 15 timed out)
Mutation testing 64% (elapsed: ~21m, remaining: ~11m) 191/295 tested (0 survived, 15 timed out)
Mutation testing 65% (elapsed: ~21m, remaining: ~11m) 194/295 tested (0 survived, 15 timed out)
Mutation testing 66% (elapsed: ~21m, remaining: ~10m) 197/295 tested (0 survived, 15 timed out)
Mutation testing 68% (elapsed: ~21m, remaining: ~10m) 201/295 tested (0 survived, 15 timed out)
Mutation testing 68% (elapsed: ~22m, remaining: ~9m) 203/295 tested (0 survived, 15 timed out)
Mutation testing 68% (elapsed: ~22m, remaining: ~10m) 203/295 tested (0 survived, 15 timed out)
Mutation testing 68% (elapsed: ~22m, remaining: ~10m) 203/295 tested (0 survived, 15 timed out)
Mutation testing 68% (elapsed: ~22m, remaining: ~10m) 203/295 tested (0 survived, 15 timed out)
